5TH MOVE: 2438, c7c5
5TH MOVE: 2438, b7b5
5TH MOVE: 2435, a7a5
4TH MOVE: 3318, d1d3
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, d1d2
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, d1e1
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, d1c1
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, d1b1
5TH MOVE: 3321, d5a2
4TH MOVE: 3321, d1a1
5TH MOVE: 3341, d5g5
4TH MOVE: 3341, g4g5
5TH MOVE: 3341, d5f5
4TH MOVE: 3341, f4f5
5TH MOVE: 3306, d5b3
5TH MOVE: 2359, f8g8
5TH MOVE: 2359, f8e8
5TH MOVE: 2359, a8e8
5TH MOVE: 2359, a8d8
5TH MOVE: 2359, a8c8
5TH MOVE: 2359, a8b8
5TH MOVE: 2359, h7h8
5TH MOVE: 2359, h7g7
5TH MOVE: 2204, d5d8
5TH MOVE: 2204, d5d7
5TH MOVE: 2207, d5e6
5TH MOVE: 2207, d5d6
5TH MOVE: 2207, d5c6
5TH MOVE: 2206, d5h5
5TH MOVE: 2209, d5g5
5TH MOVE: 2209, d5f5
5TH MOVE: 2359, d5e5
5TH MOVE: 2209, d5c5
5TH MOVE: 2209, d5b5
5TH MOVE: 2206, d5a5
5TH MOVE: 2379, d5e4
5TH MOVE: 2229, d5c4
5TH MOVE: 2239, d5f3
5TH MOVE: 2244, d5g2
5TH MOVE: 2204, d5h1
5TH MOVE: 2387, c7c6
5TH MOVE: 2386, b7b6
5TH MOVE: 2385, a7a6
5TH MOVE: 2385, h6h5
5TH MOVE: 2244, d4d3
5TH MOVE: 2414, c7c5
5TH MOVE: 2414, b7b5
5TH MOVE: 2411, a7a5
4TH MOVE: 3306, b2b3
5TH MOVE: 2360, f8g8
5TH MOVE: 2360, f8e8
5TH MOVE: 2360, a8e8
5TH MOVE: 2360, a8d8
5TH MOVE: 2360, a8c8
5TH MOVE: 2360, a8b8
5TH MOVE: 2360, h7h8
5TH MOVE: 2360, h7g7
5TH MOVE: 2205, d5d8
5TH MOVE: 2205, d5d7
5TH MOVE: 2208, d5e6
5TH MOVE: 2208, d5d6
5TH MOVE: 2208, d5c6
5TH MOVE: 2207, d5h5
5TH MOVE: 2210, d5g5
5TH MOVE: 2210, d5f5
5TH MOVE: 2360, d5e5
5TH MOVE: 2210, d5c5
5TH MOVE: 2210, d5b5
5TH MOVE: 2207, d5a5
5TH MOVE: 2380, d5e4
5TH MOVE: 2230, d5c4
5TH MOVE: 2240, d5f3
5TH MOVE: 2230, d5b3
5TH MOVE: 2245, d5g2
5TH MOVE: 2245, d5a2
5TH MOVE: 2205, d5h1
5TH MOVE: 2388, c7c6
5TH MOVE: 2387, b7b6
5TH MOVE: 2386, a7a6
5TH MOVE: 2386, h6h5
5TH MOVE: 2245, d4d3
5TH MOVE: 2415, c7c5
5TH MOVE: 2415, b7b5
5TH MOVE: 2412, a7a5
4TH MOVE: 2415, a2a3
5TH MOVE: 3266, d5a2
4TH MOVE: 3266, b2b4
5TH MOVE: 2334, f8g8
5TH MOVE: 2334, f8e8
5TH MOVE: 2334, a8e8
