fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
5k2/5p2/7p/3Bp1p1/4P1P1/r4P1P/6K1/8 w - - 6 43,0.0,-2.85,-1.804,0.0,diverse,adveg,train
1B6/1p2p2p/5r2/5k2/1K3P2/P6n/1P5P/5R2 w - - 5 38,0.0,1.19,3.214,0.0,calm,endgame,train
5k1r/1q3p2/3b2pp/pprN1R1Q/8/6P1/PP3P1P/4R1K1 w - - 0 30,2.88,2.66,3.633,2.88,diverse,midgame,val
r1b1r1k1/1pp2pp1/3b3p/p2R4/2N1q3/P1Q1B2P/1PP2PP1/3R2K1 w - - 0 21,-1.26,0.98,-0.484,-1.26,working,opening,train
2r1rk2/ppn2ppQ/4q3/8/1PnpB1P1/P3b3/3BR3/1KR5 w - - 1 32,0.54,-4.9,-7.101,0.54,diverse,opening,train
r1bqkb1r/1pp2pp1/p3n2p/3N4/1PBpP3/P7/2P1QPPP/R1B1K2R b KQkq - 2 15,0.0,0.45,0.719,0.0,diverse,opening,train
r1bqk2r/pp2bpp1/2n1pn1p/8/2BP4/PP3N2/5PPP/RNBQK2R w KQkq - 1 10,0.0,-0.36,0.213,0.0,diverse,opening,train
5B2/R7/8/p6p/1p4k1/2nKP3/P1P5/8 w - - 2 43,1.14,6.48,9.222,0.0,target,adveg,train
4r3/1p3p1k/6p1/1P5n/2P5/5P2/P3Bq1p/1KQ1R3 w - - 2 52,0.0,-3.01,0.119,0.0,calm,midgame,train
qk1r4/p5p1/Bpbrpn2/Rp2Q1B1/2PP3p/7P/5PP1/1R3NK1 w - - 2 33,2.01,6.28,4.306,0.0,target,opening,train
r1bqkb1r/pppn3p/3p1np1/4pp2/2PP2P1/2N1PN1P/PP3P2/R1BQKB1R b KQkq - 1 7,0.0,0.0,0.344,0.0,calm,opening,train
8/8/8/5b2/4k2p/7P/6K1/8 w - - 4 70,0.0,-3.45,-8.352,0.0,calm,adveg,train
5k2/3R4/1r6/4K3/8/8/8/8 b - - 37 105,1.24,0.0,0.616,0.0,target,adveg,train
8/1p1nbr1k/p3p1rP/3p3R/1P1P1BP1/2P1PP2/3K4/6R1 w - - 13 35,0.0,-0.6,2.358,0.0,crowded_safe,endgame,val
r2r2k1/3n1p2/2p3p1/p1qpp2p/7Q/1PP1P1PP/P2N1Pb1/2RR2K1 b - - 1 22,0.0,-3.21,-2.797,0.0,calm,midgame,train
2r2k2/3rn1bp/1p2qpp1/1N2p2P/Q7/2P1B1P1/1P1N1PB1/R5K1 b - - 0 27,0.0,2.86,2.613,0.0,diverse,opening,val
1nbk1r2/1p4qn/r2p2p1/pNpPpp1p/P1P1PP1b/5RPP/1PQB2B1/5RK1 w - - 0 21,1.22,2.01,0.317,0.0,target,opening,train
8/8/p2k1p1p/P2p4/1p3pPP/1P1K1P2/8/8 w - - 11 48,0.0,-1.65,-1.553,0.0,calm,adveg,train
5r1k/6p1/1p2B2P/p2p4/1n5b/4Pp2/3K4/2R5 w - - 0 36,-1.54,-6.06,-12.408,0.0,target,endgame,train
4rrk1/2q2pp1/b3p2p/p2nN3/PbNP4/1R4PB/4PP1P/Q1R2K2 b - - 8 34,0.0,-0.32,1.084,0.0,diverse,opening,train
8/8/3k4/p3RP2/P3KR1p/7P/2P3r1/8 w - - 1 42,0.0,7.8,15.493,0.0,calm,endgame,val
1R6/2p1kp2/8/4r3/2r4p/5Q1P/6PK/8 w - - 0 51,6.85,6.6,8.454,0.0,target,endgame,train
2r5/p3n1k1/1r4p1/p5Pp/2Q5/P1b3P1/5PN1/3R2K1 w - - 5 37,1.77,2.25,4.386,1.77,diverse,midgame,train
5rk1/npr2pp1/p3p2p/P2pP1b1/3P2PN/1qB4P/1P1QNP2/R3R1K1 w - - 1 28,0.0,-0.1,5.244,0.0,calm,opening,train
r1bqk2r/pp3ppp/5B2/nPpn4/8/P3P3/3P1PPP/RN1QKBNR b KQkq - 0 10,0.0,-0.4,3.383,0.0,calm,opening,train
r1b1kb1r/1p1n1pp1/p3p3/q2p2B1/3Qn2P/N4N1P/PPP1PPB1/R4K1R b kq - 0 12,0.0,-1.55,0.074,0.0,calm,opening,val
8/8/3P3k/1p4p1/P4p2/1P6/5PP1/5K2 w - - 0 49,0.0,6.98,7.225,0.0,diverse,adveg,train
1K6/8/p7/P7/6k1/8/8/5R2 w - - 0 61,1.96,6.13,9.733,0.0,target,adveg,train
8/8/3K4/6p1/5k2/8/6Bp/4r3 b - - 11 98,-1.53,-7.66,-9.663,0.0,target,adveg,val
6r1/8/p3Nk2/P2P4/1PP2Pp1/2K5/4R3/8 w - - 1 41,0.0,8.32,14.09,0.0,calm,endgame,train
1R6/2p1kp2/8/2r5/2r4p/Q6P/6PK/8 w - - 2 52,4.73,6.65,8.692,0.0,target,endgame,train
rr4k1/4b1pp/bP1p4/B2PPp2/3R4/p4N1P/5PP1/4K2R b K - 2 26,0.0,-1.67,1.168,0.0,diverse,endgame,train
rnb2k1r/1p3pbp/3p1Qp1/2pP4/p7/2N1PNPP/PP3P2/3RKB1R b K - 0 14,3.6,-0.26,10.301,3.6,calm,midgame,train
6r1/8/8/P2P1k2/1PP2P2/2KN2p1/6R1/8 b - - 4 45,0.0,8.12,17.724,0.0,calm,endgame,train
6r1/8/1R1pPk2/p3nP2/P3KR1p/7P/2P3P1/8 b - - 0 37,1.14,6.54,11.701,0.0,target,endgame,val
N5k1/8/5p2/5bpq/P2P4/1P2P1P1/2rB1K1P/4Q3 w - - 7 34,-2.64,-2.14,-2.786,-2.64,working,midgame,train
8/2k5/2rq4/2b5/7p/p6P/B4PP1/2R1QR1K b - - 2 38,2.52,6.47,12.845,2.52,working,midgame,train
1k1r3r/pp3p2/1qp1pPpb/3P4/2P4p/1P3Q1N/PB4KP/R2R4 w - - 0 26,-1.98,4.7,-0.654,-1.98,diverse,midgame,train
1r1bk2r/3nn1p1/P2Qp1P1/2p3Np/1p6/4B3/P1P2P2/2K3RR b - - 0 30,2.34,7.52,13.182,2.34,calm,midgame,val
2kr1br1/ppq2p2/4p3/N3n3/nP1BP1pp/2P3P1/P1NQBP1P/3RR1K1 b - - 1 21,0.0,3.02,9.193,0.0,diverse,opening,train
r2qk1nr/2pbbppp/p1n1p3/4p3/Np1PB3/5N2/PPP1QPPP/R1B1K2R w KQkq - 2 10,0.0,1.59,0.118,0.0,calm,opening,train
8/6P1/8/8/3k3K/8/8/8 b - - 0 71,0.0,5.29,4.36,0.0,calm,adveg,train
1R6/6p1/4k2p/2p5/pPPpN3/P7/1K6/7r b - - 8 47,2.15,2.44,-0.416,0.0,target,endgame,train
7r/2p5/1p1pPk2/p3nP2/P1P1KR1p/7P/2P3P1/1R6 w - - 2 35,1.09,5.1,9.607,0.0,target,endgame,train
4r1k1/1p2qpp1/4b3/pQ4p1/P7/3Bp2P/1P3P2/3KR3 b - - 3 27,-1.14,-4.48,-5.222,-1.14,working,midgame,train
8/2kq4/2r5/2b1p2Q/7p/p6P/B4PP1/2R2R1K w - - 0 37,2.16,7.13,11.185,2.16,working,midgame,val
2Q5/6pk/p3p3/3pP1q1/3P3p/5P1P/4r1P1/5K2 w - - 0 59,-7.8,-4.1,-0.968,0.0,target,endgame,train
8/2R5/2p1r1kp/p3p2p/4Np1K/P2PbP2/2P4P/8 w - - 2 40,0.0,1.47,-1.731,0.0,diverse,endgame,val
3r4/5rpp/p3k3/1p4PN/4p2P/3bP1Q1/7K/8 b - - 0 39,3.49,-0.28,-4.924,0.0,target,endgame,train
3r1rk1/2q2b1p/3b2p1/p1P5/P2B4/3QP2P/8/2RK2R1 b - - 0 32,2.34,-2.44,-1.208,2.34,diverse,midgame,train
r6r/1bkpq1pp/1pn5/8/1p3n2/PN2PB2/6PP/2QR1RK1 b - - 0 25,1.98,-2.89,-2.954,1.98,diverse,opening,train
r1bqk1nr/2p1bpQp/p3p3/1p6/8/2NP4/PP3PPP/R1B1K1NR b KQkq - 0 10,0.0,-1.04,3.588,0.0,diverse,opening,train
8/7p/p2Pk2K/1p6/1P4P1/8/8/8 b - - 0 50,0.0,-0.72,0.202,0.0,calm,adveg,train
8/6r1/1Rnk3p/p2p1p1P/Pb2p3/6P1/8/1K6 b - - 7 43,0.0,-10.93,-19.559,0.0,calm,endgame,train
4k1r1/R2n1ppp/1p1Bp3/3b4/8/P5P1/1P4pP/6K1 w - - 3 26,0.0,-5.02,-10.413,0.0,diverse,endgame,train
2r1rk2/p4p2/n6p/2p5/1P1p2P1/P2Rb3/2K5/4R3 w - - 0 38,0.0,-7.69,-14.499,0.0,calm,endgame,train
2rk1r2/5p1p/1q1p2p1/pB3b2/pPQ5/7P/P5P1/n6K w - - 3 27,2.16,-8.02,-17.974,2.16,calm,midgame,train
4rr2/pp1q2pk/3b2pp/3P4/2n5/2N1P2P/PP2Q1P1/3R2KR w - - 0 23,-2.16,-6.66,-2.665,-2.16,working,midgame,train
r1b1k2r/1p1pPpp1/p1n1q2p/2B5/8/6P1/5PBP/2RQ1RK1 w kq - 1 19,1.98,3.07,1.055,1.98,calm,opening,train
3rr1k1/p1p1nppp/1p2pn2/P2q2P1/2bP3P/3BPN2/1P1R1P2/3QK2R b - - 0 22,0.0,-4.54,-6.789,0.0,diverse,opening,val
rnbqr1k1/1p3ppp/p2ppb2/2p5/2P5/1P1P1NPP/P4P2/RNBQKB1R w KQ - 0 10,-1.15,-0.24,0.234,0.0,target,opening,train
rnbqk2r/1p2bppp/2p1pn2/p2p4/2PP4/4PNP1/PPQN1P1P/R1B1KB1R b KQkq - 3 7,0.0,0.2,0.131,0.0,calm,opening,train
6k1/2N2ppp/p1p5/P1pp4/4n2P/6r1/1P6/1R5K w - - 0 37,-7.85,-4.25,-8.444,0.0,target,endgame,val
1k2r3/pp3p2/2p3pr/3p2n1/1P1P1Nb1/4PPPp/P3BK1R/2R5 b - - 1 27,0.0,-0.24,-2.002,0.0,crowded_safe,endgame,train
4nk2/3n3p/1p2qppN/p5P1/4pB2/2Q4P/4rPB1/3R2K1 w - - 0 33,2.16,4.8,0.229,0.0,target,midgame,train
r4rk1/1bp2pbp/p3p1p1/n2q4/NpN5/4Q1B1/1P2BPPP/R4RK1 w - - 1 21,-1.45,-1.04,-1.376,0.0,target,opening,val
rnbqk2r/1p2bppp/4pn2/p1pP4/3P4/4PNP1/PPQN1P1P/R1B1KB1R b KQkq - 0 8,1.62,-0.16,3.122,1.62,working,opening,train
8/1k6/8/2PK3p/6p1/4N3/7P/8 b - - 2 59,1.31,4.52,9.036,0.0,target,adveg,train
8/2pk4/4R3/p5p1/P4bP1/1Pr2P2/6K1/8 w - - 5 68,-2.54,-4.93,-4.905,0.0,target,endgame,train
1k1r1q2/6p1/1p1rp3/4Q2n/2PP1B1p/R6P/3N1P1K/7B w - - 23 49,3.42,6.21,10.412,3.42,diverse,midgame,train
r4rk1/2qp2pp/1p1np3/p1p5/1nP2p1P/NQ1B1P2/PP1B1P2/1K1R3R b - - 1 19,0.0,2.23,1.377,0.0,calm,opening,train
rn1q3r/4kpb1/1p2p1pp/pQ2N2n/3Pp3/P1N5/1P1B1PP1/3R1K1R b - - 1 16,2.16,0.93,3.889,2.16,working,opening,val
1r3knr/2p2qp1/b1np4/p1pN1pBp/2B5/P3QN1P/1P3PP1/R4K1R w - - 6 19,1.62,3.94,8.691,1.62,working,opening,train
8/8/4pb2/8/k1KN3p/7P/8/8 b - - 7 59,0.0,0.28,-0.886,0.0,crowded_safe,adveg,val
8/2pk4/8/R5p1/P4bP1/1r3P2/6K1/8 b - - 0 69,-2.78,-4.09,-5.685,0.0,target,endgame,train
6k1/q4p2/4p1p1/pp2P3/6Pp/P4Q1P/2r5/5R1K w - - 0 56,-1.53,-3.35,-4.661,-1.53,diverse,endgame,train
6k1/1b3pp1/8/4r3/PP1nP2P/2R2P2/3r2PK/2R5 b - - 0 40,0.0,-3.69,-6.49,0.0,calm,endgame,val
4q1k1/5p2/p4npp/3pb2r/P7/4P2P/1BQ1NPP1/2R3K1 w - - 1 29,0.0,2.65,-0.662,0.0,diverse,midgame,val
r5kr/5ppp/1npNp2n/p3P3/p2P3q/B1P1P2P/2Q3P1/R4RK1 w - - 7 24,0.0,3.2,-0.64,0.0,diverse,opening,train
rn1qkb1r/5ppp/1p2pn2/p2p4/3P3P/PQN1PN2/1P3PP1/R1B2K1R b kq - 0 10,0.0,-0.01,1.052,0.0,diverse,opening,train
8/8/P7/3k4/1P6/8/8/6K1 w - - 1 43,0.0,4.02,6.134,0.0,diverse,adveg,train
3B4/8/8/p2k3p/1p4p1/1K6/6P1/8 w - - 2 60,0.0,0.08,-0.89,0.0,crowded_safe,adveg,train
8/6N1/3k4/3p4/p1p5/4R3/r7/2K5 w - - 2 70,2.38,-0.14,-3.319,0.0,target,endgame,train
7n/7P/2p1k3/6B1/2Np4/3B4/8/1K6 w - - 9 96,0.0,8.1,12.389,0.0,calm,adveg,val
3r4/1p2pk1p/1Bb5/6n1/5p2/P1K5/1P4PP/1R2R3 b - - 0 30,0.0,0.1,1.041,0.0,diverse,endgame,train
4kb2/r3np1r/p4Bp1/1p2P2p/1NpPQ3/8/P4P1P/5K2 w - - 1 29,1.26,6.4,-0.036,1.26,working,endgame,train
rn1qk1nr/5ppp/1pp1p3/p3P3/2pP4/P1N1P3/1PQ3PP/R1B1K2R w KQkq - 0 13,0.0,2.8,-1.086,0.0,diverse,opening,train
1R6/P3kp1p/3np3/7P/6P1/5P2/6K1/8 b - - 0 60,0.0,9.74,7.98,0.0,diverse,adveg,val
5q2/8/1p4k1/p3Qp2/P1p1pKp1/4P3/7R/8 w - - 6 60,5.82,4.87,-0.722,0.0,target,endgame,train
2r5/1p2pk1p/1Bb5/6n1/5p2/P1K3P1/1P5P/1R2R3 b - - 0 31,0.0,0.13,2.226,0.0,diverse,endgame,train
r1b4R/ppkn2Q1/3r1p2/P2Rp1p1/4P1P1/4K3/1PP2P1P/8 w - - 2 32,3.75,10.35,9.642,3.75,diverse,midgame,train
r3k3/1pq1pp2/1nppbn2/7p/3PP3/1pPBQ2P/P2NNPr1/1R3K1R b q - 1 18,0.0,-0.02,-2.971,0.0,diverse,opening,train
4k3/n1R2p1p/P3p3/7P/6P1/5P2/6K1/8 b - - 2 57,0.0,7.37,7.219,0.0,calm,adveg,train
8/2p5/5r2/p2p4/1p1kn3/3N3R/PPP1KP2/8 b - - 2 40,0.0,0.0,-0.387,0.0,crowded_safe,endgame,train
r1q3k1/5ppp/P2p1n1n/1B1Pp3/4P1P1/1p5P/3BQP2/1R4K1 w - - 4 39,0.0,3.0,0.826,0.0,calm,midgame,train
r3r1k1/5pp1/2R5/B2p1q2/3PnNb1/1P2P1Pp/P6P/4QRK1 w - - 1 21,-1.18,-0.75,1.805,0.0,target,opening,train
rnbqkb1r/pp3ppp/5P2/4p3/2Pp4/2N5/PP1P1P1P/R1BQKBNR b KQkq - 0 7,0.0,0.65,1.434,0.0,diverse,opening,val
rbbqr1k1/pp3pp1/5n1p/3pn3/P2N4/1P2PN1P/2Q2PP1/R1B1KB1R w KQ - 2 14,0.0,0.12,-0.53,0.0,diverse,opening,train
8/8/8/3k4/1R1P1K2/1P6/8/8 w - - 3 58,0.0,12.9,13.891,0.0,calm,adveg,train
1r4k1/5p1p/6p1/8/p7/P4P2/1P5P/2q1QK2 b - - 2 38,-3.21,-8.59,-10.5,0.0,target,endgame,val
r3k3/3b4/p1nR2p1/P4p2/Bp2p2p/5R1P/5PP1/6K1 w - - 0 34,1.38,1.04,-1.04,0.0,target,endgame,train
3r1k1b/R2q2rp/1p3p1Q/1N1Bp3/2P5/4N1P1/5P2/6K1 b - - 26 46,3.06,8.06,6.027,3.06,diverse,midgame,train
8/p6p/5p2/4p1k1/4P1P1/p2P1K2/8/8 w - - 0 46,0.0,-6.5,-6.166,0.0,calm,adveg,train
8/p7/8/5B1P/3kp1P1/8/4PK2/2q5 b - - 0 50,-4.99,-6.8,-10.527,0.0,target,endgame,train
7r/6R1/4p3/P3p3/1PPbPn2/5P1p/2Pk4/1R3K2 b - - 1 64,-1.0,-8.81,1.426,0.0,target,endgame,train
rn3rk1/1bq1ppbp/p5p1/8/2PP1P2/1Q2B3/PP4PP/R3KBNR w KQ - 4 12,0.0,0.89,1.551,0.0,diverse,opening,train
r1b1r1k1/pppq1pp1/1n5p/4b3/nP3P2/P1NP4/2QBP1BP/1R1K2R1 w - - 0 18,-1.42,-0.79,-0.861,0.0,target,opening,train
r1bqk2r/pp1n1pp1/2pb1n1p/3p4/8/2NBPNPP/PPQP1P2/R1B1K2R b KQkq - 2 9,0.0,-1.02,0.403,0.0,calm,opening,val
5r2/2k1b3/4p3/2p1p1pp/P3P3/1P1P1P1P/2PK2nR/5R2 b - - 2 34,0.0,-0.91,1.129,0.0,calm,endgame,train
