fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
2rqk2r/1p2bpp1/p1n5/3pPQ1p/1P6/2P5/P4PPP/RNB1R1K1 b k - 0 16,vssf_2700,21,3.313,1.62,0.9,0.51,quiet,0,1,0,0,0.61
r3k2r/5p2/pqp1pnp1/2Bp3p/Q3b3/2P2NPP/PP2PPB1/R3K2R b KQkq - 0 15,vssf_2700,16,1.397,0.0,4.57,0.39,quiet,0,1,0,0,-0.24
2r3k1/4bpn1/2n3p1/3qPbPp/Q4B1P/2PP1N2/p7/1NKR1R2 w - - 0 32,vssf_2700,16,1.618,0.0,-1.39,-2.03,quiet,1,0,0,0,-5.72
r1bq1rk1/1p1Nppb1/2pn2pp/p2p4/3P4/QNP1B1P1/PP2PPBP/R4RK1 b - - 0 14,vssf_2700,5,3.281,0.0,3.94,0.19,quiet,0,1,0,0,-2.76
r2qkb1r/pp2p1pp/4b3/2pn1p2/3n4/2NP2P1/PP2PPBP/R1BQK1NR b KQkq - 1 9,vssf_2700,0,-0.004,0.0,0.11,-0.05,quiet,1,0,0,0,-0.04
8/8/6p1/4pp1p/8/3p2PK/4k3/8 w - - 0 53,vssf1_win_d8,128,-12.847,0.0,-9.79,-0.11,quiet,2,0,0,0,-9.72
8/6k1/5p2/4p1p1/2P1P3/3PKPPP/8/7r w - - 1 62,vssf_2400,117,-1.735,0.0,-3.29,-0.12,quiet,2,0,0,0,-3.89
6k1/R7/5p1p/8/1p6/2n4P/P2K1PP1/8 b - - 5 48,vssf_2400,112,5.458,0.0,4.04,0.03,quiet,2,1,0,0,5.68
8/P6k/5p2/5P2/1P3Q2/6KP/q2n4/8 w - - 1 80,vssf_2400,80,1.912,0.0,1.78,0.7,quiet,1,2,0,0,2.44
6k1/7p/P1qpp3/2pp4/2r4p/5PP1/Q4PK1/R7 b - - 0 33,vssf_2700,64,-5.425,0.0,-0.29,-0.19,quiet,1,0,0,0,3.1
