family,seed,game,our_color,result,peak_ply,peak_eval,peak_move,drop_ply,drop_eval,swing,decision_fen,drop_fen,src_dir,in_check,kring_pressure,mat_swing,ks_class
base,0,102,white,0-1,19,2055,d5d6,35,-86,2141,rnbqkb1r/1p3ppp/p4n2/2pP4/2p2B2/2N5/PP2BPPP/R2QK1NR w KQkq - 4 10,r3kb1r/3N1p2/pq1Pbn1p/1pp3p1/8/2N3BP/Pp2BPP1/R2Q1RK1 b kq - 0 18,base_s0,0,0,-2,positional
base,0,103,black,1-0,32,3102,e6d7,38,498,2604,4rk1r/pp3ppp/3qb3/1Bp4Q/3n4/4N3/PP3KPP/3R2NR b - - 8 16,5k1r/pp3ppp/8/1bp4Q/2Nn1q2/5N2/PP2r1PP/3R1K1R w - - 0 20,base_s0,0,1,-3,positional
base,0,104,white,0-1,47,3354,d3e4,59,-2968,6322,7r/p1q1nkp1/1pr2b2/4p3/1Pp3B1/P2QBPPp/7P/1R3RK1 w - - 0 24,7r/p1q2kp1/1p1r1b2/1P1n4/4Q1B1/P1p1B1Pp/7P/R1R3K1 b - - 2 30,base_s0,0,1,0,positional
base,0,110,white,0-1,35,2957,h5g6,41,-283,3240,r2q1rk1/pp3pbn/2pnp1pp/7P/P2P2P1/2P1P3/1PQNP3/R1B1KBR1 w Q - 0 18,r4rk1/pp4bn/2pnQ2p/8/P2P2P1/2P1P3/1P1NP2q/R1BK1BR1 b - - 0 21,base_s0,0,1,-2,positional
base,0,112,white,0-1,25,2253,c4b3,43,-3097,5350,r1b1k2r/pp3ppp/1np2n2/7q/1QBPp2P/2B1P1P1/PP3P2/R3K1NR w KQkq - 1 13,r1r5/3k1ppp/2p2n2/1pRn3q/BB1Pp1bP/QP2P1P1/P4P2/4K1NR b K - 0 22,base_s0,0,1,-1,positional
base,0,113,black,1-0,28,3395,b6d5,36,-895,4290,rn3rk1/pp3ppp/1np5/3P4/4p2P/1BB1P2b/PP1KNPq1/2RQ3R b - - 0 14,rn4k1/pp3p1p/2p5/3r2p1/4p2P/2B1Pq1b/PPK1NP2/2R1Q1R1 w - - 0 19,base_s0,0,1,-1,positional
base,0,114,white,0-1,57,3430,f1d1,61,1456,1974,q7/5pk1/1p4p1/1PbP4/P1Q5/3BrP2/7P/5R1K w - - 1 29,7q/5pk1/1P4p1/1PbP4/2Q5/3B1r2/7P/3R3K b - - 0 31,base_s0,0,2,0,ks_attack
base,0,116,white,1/2-1/2,47,3720,g5d5,49,0,3720,r4bk1/1p1b1pnp/1q4p1/3p2Q1/3P2P1/pP1B1N1P/P3RP2/R5K1 w - - 7 24,r4bk1/1p3Qnp/1qb3p1/8/3P2P1/pP1B1N1P/P3RP2/R5K1 b - - 0 25,base_s0,0,0,-2,positional
base,0,117,black,1-0,72,5863,e6e7,76,9,5854,3r3k/1p2Nn2/4q2p/p1Prp1p1/P1Bp4/1P5P/5RP1/1Q4K1 b - - 0 36,7k/1p2qnr1/7p/p1Prp1p1/P1BpQ3/1P5P/5RP1/6K1 w - - 4 39,base_s0,0,1,-3,positional
base,0,119,black,1-0,80,6106,e6e5,86,-4714,10820,6k1/6pp/4pp2/P7/3K1n2/1P6/6PP/8 b - - 0 40,6k1/6pp/5p2/P2Kp3/8/1P6/6PP/3n4 w - - 6 44,base_s0,0,0,0,positional
base,0,120,white,0-1,45,4911,d3e3,65,479,4432,2rq1r2/p3bNkB/4pn1p/1p6/2N4P/P2Qn3/1P3PP1/R4K1R w - - 0 23,6k1/p1Q5/4pn1p/1p1q4/3b2rP/PP4R1/5PP1/4R1K1 b - - 6 33,base_s0,0,2,1,ks_attack
base,0,122,white,1/2-1/2,45,2712,e4f6,47,-222,2934,2kr3r/1b2qp1p/1pp2bpB/p1n5/2P1Np2/5Q2/PP4PP/1BRR2K1 w - - 0 23,2k4r/1b2qp1p/1pp2NpB/p1n5/2P2p2/5Q2/PP4PP/1B1R2K1 b - - 0 24,base_s0,0,0,-3,positional
base,0,124,white,0-1,17,2752,d6c7,31,-7678,10430,r3kbnr/1ppq1p2/p1nPb1p1/7p/4P3/6N1/PPP1BPPP/RNBQ1RK1 w kq - 1 9,r5nr/1p3k2/pq2bpp1/8/3QP2p/8/PPP1BPPP/RN3RKN b - - 0 16,base_s0,0,0,-3,positional
base,0,125,black,1-0,26,2812,g8f6,34,443,2369,rnb1kbnr/1pp5/p2p4/3Ppp2/P4PPq/R6p/1PP1B2P/1NBQ1RKN b kq - 0 13,rnb1k1r1/1pp1b3/p2p4/P2Pp1P1/4pP1q/R6p/1PP1B2P/2BQ1RKN w q - 0 18,base_s0,0,0,0,positional
base,0,126,white,1/2-1/2,39,2667,e1g1,49,-1023,3690,r6r/ppqb1k1n/2p3pQ/2Pp1p2/1P1Pp3/P5N1/4BPPP/3RK2R w K - 2 20,r4n2/pp1b1k1r/2p3p1/2P1Qpq1/1PpPN3/P7/5PPP/3R1RK1 b - - 0 25,base_s0,0,2,2,ks_attack
base,0,127,black,1-0,122,4594,c4b5,136,0,4594,2Q5/p7/Pp6/5n2/2kn3p/5p2/1P3Nr1/K7 b - - 32 61,8/p4Q2/Pp2r3/k4n2/3n3p/1P1N1p2/8/1K6 w - - 9 69,base_s0,0,2,0,ks_attack
base,0,132,white,0-1,35,3379,e4f5,49,391,2988,r3kbr1/1p1bq3/2ppn2p/p4p2/1PP1B1pP/Q1N1PN2/P2B1PP1/R4K1R w q - 0 18,r1k2br1/1pn5/2p4p/p3q3/1P2N2P/2BQPpP1/P4P2/R4K1R b - - 3 25,base_s0,0,1,2,positional
base,0,134,white,1/2-1/2,21,2463,e4f5,27,61,2402,2bqkb1r/1r3ppp/ppnp1n2/2p2pN1/4P3/1BNP4/PPP3PP/R1BQ1RK1 w k - 2 11,2bqk2r/1r3ppp/pp1b1n2/2pp1PN1/3n3Q/1BNP4/PPP3PP/R1B2RK1 b k - 5 14,base_s0,0,1,-1,positional
base,0,136,white,0-1,29,3520,h1f1,41,315,3205,r3k2r/pb1nqp1p/2p2np1/1p2p3/4P2Q/1BN1P2P/PPP1N1P1/2KR3R w kq - 1 15,7r/1b1k1q2/2p2Rpp/1p2p3/4P2Q/4P2P/1PP1N1P1/rNK5 b - - 0 21,base_s0,0,1,1,positional
base,0,138,white,0-1,35,3072,e2d4,47,11,3061,N1kq2nr/pp1b1pp1/2nQ4/7p/4P3/1PP3P1/4NPBP/4K2R w K - 0 18,N2k4/p3npp1/2B1r3/4P2p/2P5/1P4P1/5P1P/4K2R b K - 0 24,base_s0,0,0,-4,positional
base,0,139,black,1-0,34,4606,f3d2,38,424,4182,2k1rbnr/ppp2p2/3p3p/1Q6/N4N2/1P2qnP1/PBP4P/R4K1R b - - 1 17,2k1rbnr/ppp5/3p1p1p/8/N3qN2/1P1Q2P1/PBPn2KP/R6R w - - 2 20,base_s0,0,0,0,positional
base,0,142,white,0-1,37,2851,b5c3,41,77,2774,r1bq2n1/1pp1b2r/3p2kp/1NPPp1p1/p1Q1Pp2/5N1P/PP1B1PP1/1R2R1K1 w - - 9 19,r1bq2n1/1pp1b2r/3p2k1/1NPPp2p/p1Q1PpP1/5N2/PP1B1PP1/1R2R1K1 b - - 0 21,base_s0,0,0,-1,positional
base,0,144,white,0-1,45,2920,a1a2,49,-700,3620,1r2q2k/1pn1b2P/p1np4/4p3/P1P5/1P2BPQP/2p2P2/R3R1K1 w - - 0 23,1r5k/1pn1b2P/p2p4/4p2q/PnP5/1P3PQP/1Rp2P2/2B1R1K1 b - - 5 25,base_s0,0,0,0,positional
