fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
r4rk1/pp1n1ppp/2pb1n2/q2pp1B1/4P1b1/1B1P1N2/PPP2PPP/RN1QR1K1 w - - 8 11,vssf_2700,0,-1.158,0.0,-1.06,-0.08,quiet,0,0,0,0,
5k2/4pp1p/8/1pP3P1/6P1/p2K4/8/8 b - - 1 50,vssf1_win_d8,128,-5.51,0.0,-5.2,0.19,quiet,1,0,0,0,
8/8/8/8/3R4/5k2/8/4K3 b - - 4 70,vssf_2400,117,10.427,0.0,53.6,0.0,quiet,1,2,0,0,
8/5pk1/P2q1p1p/3P4/8/8/5K1P/3R4 w - - 1 42,vssf_2700,96,-7.954,0.0,-3.29,-1.97,quiet,1,0,0,0,
4b3/8/1k3Kp1/2p2p1p/p1P1pB1P/P7/4B3/8 w - - 16 62,vssf_2400,112,-1.017,0.0,2.29,-0.0,quiet,2,2,0,0,
8/6k1/1n3pp1/P6p/1BpnB2P/3p2P1/5P2/4K3 b - - 2 53,vssf_2700,106,-2.893,0.0,-0.19,-1.32,quiet,2,2,0,0,
3Q4/5ppk/8/N6p/1pr5/P3RP1P/1PPR4/6K1 w - - 1 33,vssf_2700,69,35.883,0.0,23.53,0.0,quiet,0,1,0,0,
2b5/1p2bk2/2r5/3R1P1p/5BP1/p1P2P1P/PP6/2K1R3 b - - 1 28,vssf_2700,80,8.911,0.0,8.24,1.23,quiet,1,2,0,0,
r3k2r/5p2/p1p1p1p1/7p/2B1b3/2P4P/P2B1R1P/2R3K1 w kq - 0 27,vssf_2400,69,2.224,0.0,3.01,-0.38,quiet,1,1,0,0,
2nr1b2/5pr1/Qnk5/3pP1p1/P1pP2B1/2P3p1/3B1P2/6K1 w - - 0 33,vssf_2700,58,1.998,2.94,1.0,5.92,ks,1,5,0,0,
r4qk1/1p4b1/2p3bp/p1Pp2p1/P2PpP2/PN2B3/4PPBP/1RR2K2 b - - 0 26,vssf_2700,48,-2.706,0.0,-2.13,-0.03,quiet,0,0,0,0,
4r3/2b1k3/Rn1rpnpB/pP6/1pB5/5NP1/PP3PK1/4R3 w - - 1 37,vssf_2700,53,3.182,0.0,2.07,0.54,ks,0,3,0,0,
rnbqk2r/pp3pp1/4p2p/3p4/2PP4/1Pn2N2/P4PPP/2RQKB1R w Kkq - 0 11,vssf_2700,16,-0.735,0.0,-4.0,-0.03,quiet,1,0,0,0,
r2k1b1r/pp2p1p1/3qb2p/2pnNp2/Q2P4/2P3P1/P3PPBP/R1B2RK1 b - - 0 15,vssf_2700,10,2.569,2.52,6.34,4.47,quiet,0,2,0,0,
r1bqkb1r/ppp4p/3p2p1/1N2n3/2P2Q1N/8/PP3p2/R1BK1B1R b kq - 3 13,vssf_2700,5,0.679,-0.18,-3.09,-1.08,quiet,1,1,0,0,
rnbqnrk1/p1p1bppp/1p2p3/4p1N1/2PP3P/8/PP3PP1/RNBQKB1R w KQ - 0 9,vssf_2700,0,-0.031,0.0,-0.81,-0.05,quiet,0,1,0,0,
8/8/2K5/8/8/2kp4/8/8 w - - 0 58,vssf1_win_d8,128,-5.331,0.0,-47.97,0.0,quiet,0,0,0,0,
8/8/3k2p1/PP1p4/3Kn3/4P1P1/7P/8 w - - 2 48,vssf1_win_d8,122,2.314,0.0,2.41,-0.7,ks,3,2,0,0,
8/8/8/8/2nn4/3k4/K7/8 b - - 25 79,vssf_2400,117,-13.927,0.0,0.0,0.0,quiet,2,0,0,0,
4b3/1k6/5Kp1/2p2p1p/p1P1pB1P/P7/4B3/8 w - - 36 72,vssf_2400,112,-0.988,0.0,2.34,-0.0,quiet,2,1,0,0,
2k5/1r5p/Bq1Qp1p1/3b1p2/8/8/PPK5/8 w - - 0 45,vssf_2700,64,-17.82,-2.43,-8.19,0.0,quiet,2,2,0,0,
2b5/1p2bk2/2r5/5P1p/5BP1/p1P2P1P/PP6/2KRR3 w - - 0 28,vssf_2700,80,9.823,0.0,8.56,1.17,quiet,1,2,0,0,
2r5/5bkp/5qp1/pQPr4/P2P3R/2R4P/8/2K5 w - - 1 39,vssf_2400,37,-0.981,0.0,-4.37,-0.82,quiet,0,1,0,0,
