tag,ply,pieces,our_pawns,sf_pawns,gap_pawns,our_depth,fen
away_blitz,66,21,-2.261,3.800,-6.061,11,1k2r3/1p6/ppq1r1p1/4Rp1p/1P1P1P2/4RN2/b4P1P/4Q1K1 w - - 8 34
hlmr_more1_lightning,70,19,-3.068,2.920,-5.988,13,2r1k1r1/1p3p2/3Pp3/p1bp4/P4B2/1Pn3P1/6P1/1R1Q1K2 w - - 0 36
nmp_lightning,60,18,-3.115,2.870,-5.985,8,r1br2kb/1p3p2/p2q2p1/2RB4/1Q6/6N1/P4P2/4R1K1 w - - 2 31
away_lightning,57,20,-2.633,3.330,-5.963,8,3k1b1r/5pp1/p1qB1n1p/1r6/8/Q4P2/PP3P1P/R2R2K1 b - - 0 29
hlmr_more1_lightning,42,24,-1.283,4.670,-5.953,10,2b1k2r/5ppp/p7/2Bpp3/2q1n3/2P1Q3/PrN1NPPP/R4RK1 w k - 0 22
hlmr_more1_lightning,31,26,0.628,-5.300,5.928,8,r4rk1/ppp3p1/2n2P1p/7n/1bPqQ3/2N2PB1/PP3P1P/2R1KB1R b K - 0 16
placement_bundle,55,16,3.818,-2.100,5.918,10,r4R2/p1b1k3/2p1R3/8/Np1N4/1P2r2p/P1P5/2K5 b - - 0 28
placement_bundle,66,19,-2.332,3.580,-5.912,10,r3r1k1/1b4pp/5p2/3p1Q2/1p1N4/4P2P/1q3PP1/4R1KR w - - 0 34
placement_bundle,72,22,-2.374,3.510,-5.884,10,1r2bk2/q3p3/2P2p2/1BR1p1pr/P3n2p/5N1P/3R1PP1/2Q3K1 w - - 4 37
hlmr_more1_blitz,53,22,0.940,-4.940,5.880,10,1r4k1/p2q3p/3rbp2/b4p2/3p4/3B1PQP/PP3BP1/RK5R b - - 3 27
hlmr_more1_lightning,64,23,-2.564,3.300,-5.864,8,2r1k2r/pp2p1b1/6b1/n1pP2p1/2P5/1P2Q1P1/q2B1P1P/2RR2K1 w - - 0 33
placement_bundle,44,19,-1.283,4.570,-5.853,9,2kr3r/1p3p2/2n2p1p/pq1B4/4PB1P/4Q1P1/P5K1/2R5 w - - 1 23
placement_bundle,92,19,-3.190,2.600,-5.790,9,3Br1k1/5ppp/1n1P4/p1p5/7Q/2q2P2/R1r3PP/3R1K2 w - - 0 47
placement_bundle,74,18,-1.920,3.820,-5.740,11,2q1k3/Q1P2p2/3bp3/3p2p1/7r/P3P1nP/2R3P1/2R3K1 w - - 1 38
placement_bundle,69,18,0.915,-4.740,5.655,10,3k3r/4n3/1p1b1p2/p2p4/2PP1N2/4QBP1/q7/N3R1K1 b - - 0 35
placement_bundle,44,22,-4.699,0.950,-5.649,9,r5k1/3n1ppp/3bp3/p2p4/3N4/P1rnPNPQ/4KP1P/7R w - - 2 23
placement_bundle,118,15,-2.241,3.400,-5.641,12,2R5/4bk2/4pp1B/3q1p2/1p2r3/1P4PK/7P/Q7 w - - 2 60
hlmr_more1_lightning,71,16,0.692,-4.930,5.622,10,1r2r1k1/5pp1/2p4p/2P5/2N5/B4R2/q5PP/5QK1 b - - 2 36
placement_bundle,58,22,-2.556,3.020,-5.576,9,4k2r/1p2qpb1/7p/pP1np1pQ/P2N4/2r3P1/5P2/RB2R1K1 w k - 4 30
hlmr_more1_lightning,65,17,1.141,-4.420,5.561,10,R3k2r/1p1b2pp/1Q2p3/3pn3/8/1P6/3q2PP/1KR5 b - - 1 33
placement_bundle,32,26,-1.917,3.620,-5.537,11,1r1q1k1r/pb3ppp/2p1p3/2p5/P1P2n1P/3PpN2/1PN1Q3/R1B1K1R1 w Q - 0 17
placement_bundle,46,19,-3.155,2.370,-5.525,11,B6r/p1Pk4/bp2p2p/5n2/2Pb1p2/P7/3R3P/1N2K2R w - - 2 24
hlmr_more1_lightning,58,22,-1.781,3.740,-5.521,11,2rbb1k1/2p3pp/Q1p5/1p3p2/p1q2B2/P1PR1N2/1P3PP1/6K1 w - - 4 30
placement_bundle,69,14,3.632,-1.870,5.502,12,8/2k2rpp/p3p3/2N5/pP3P2/4B2P/5KP1/8 b - - 3 35
placement_bundle,51,20,4.225,-1.270,5.495,11,5k1B/4qp2/n5p1/p1p4p/1PP3b1/P4P2/R3BP1P/3R2K1 b - - 0 26
placement_bundle,47,20,4.167,-1.310,5.477,12,r4k2/1p5Q/p2bp3/2nn4/1q6/1P2P2P/PB1R1PP1/4K2R b - - 4 24
placement_bundle,23,27,1.017,-4.440,5.457,9,1r1qkbnr/pb1n3p/6p1/4pp2/2Q5/2PB4/PP3PPP/RNB2KNR b k - 4 12
hlmr_more1_lightning,64,19,-2.062,3.390,-5.452,9,3r2k1/1p2Qp2/2p3pp/p2r4/3B3P/3KP3/PP3q2/2RR4 w - - 2 33
placement_bundle,105,19,3.595,-1.850,5.445,9,2r3k1/5qpp/3Qb3/1N1p4/1B1Pp3/pP2P1p1/P7/1K1R4 b - - 0 53
placement_bundle,97,14,-2.284,3.160,-5.444,11,5k2/5p1p/PP1N4/2r1P1p1/2B2n2/6KP/6b1/8 b - - 0 49
placement_bundle,63,19,4.087,-1.340,5.427,11,q7/N2nppk1/5bp1/3r4/Q2p2Rp/1P6/P2B3P/5RK1 b - - 1 32
placement_bundle,90,19,-4.499,0.890,-5.389,13,4n1k1/5pp1/7p/p3PP2/r2N1QP1/1nBb2KP/2r3B1/8 w - - 1 46
stack_lightning,80,17,-1.368,4.020,-5.388,14,8/1p3k2/1Pp3pb/p2pPn1p/P7/1P1R1N2/7P/7K w - - 4 41
ship_standard,48,21,-3.615,1.720,-5.335,14,4r1k1/p1pn1pbp/8/1rpNpb2/8/P3B3/1PPR3P/2K3R1 w - - 0 25
placement_bundle,81,14,-0.701,4.630,-5.331,13,6k1/1p1n3p/PP4p1/2pRnp2/8/7P/1P6/7K b - - 0 41
hlmr_more1_lightning,68,20,-2.634,2.690,-5.324,12,2r1k1r1/1p3p2/3Pp3/p1bp4/P4B2/1PR3P1/4n1P1/1R1Q2K1 w - - 1 35
nmp_blitz,50,23,-1.706,3.600,-5.306,12,r5k1/pp3p1p/3Pp1p1/n2p2B1/1R1P4/2r2N1P/2b1pPP1/2R1K3 w - - 1 26
hlmr_more1_lightning,63,19,2.072,-3.220,5.292,9,1r2R1k1/1p4qp/5n2/pP3p2/3P3B/P4pPB/2Q4P/6K1 b - - 0 32
placement_bundle,88,20,-4.351,0.940,-5.291,11,4n1k1/5pp1/7p/p3PP2/r2p1QP1/1nBb1NKP/4r1B1/8 w - - 2 45
hlmr_more1_lightning,44,23,-1.887,3.400,-5.287,9,2b1k2r/5ppp/p7/2Bpp3/2q1n3/2P5/r1N1NPPP/R1Q2RK1 w k - 0 23
nmp_blitz,48,24,-3.089,2.170,-5.259,10,r1r3k1/pp3p1p/3bp1p1/n2pP1B1/1R1P4/5N1P/2b1pPP1/2R1K3 w - - 0 25
hlmr_more1_lightning,54,18,-0.804,4.450,-5.254,12,2b1k2r/1p4pp/1Q2p3/3pn3/1R6/1Pq2N2/6PP/1K5R w - - 2 28
hlmr_more1_lightning,66,21,-2.600,2.640,-5.240,11,2r1k1r1/1p3p2/3qp3/p1bpP3/P2n1B2/1PR3P1/6P1/1R1Q2K1 w - - 0 34
hlmr_more1_lightning,56,22,-1.434,3.800,-5.234,9,2rbb1k1/Q1p2qpp/2p5/1p3p2/p4B2/P1PR1N2/1P3PP1/6K1 w - - 2 29
ship_lightning,58,20,-3.345,1.880,-5.225,8,6k1/1p1q1ppp/7r/p1Pp4/P1P4n/B3r3/1R3P2/3Q1K1R w - - 0 30
nmp_standard,59,24,2.427,-2.790,5.217,13,rr4k1/4qp1p/2b2np1/p5B1/3bN1PP/1P1P1P2/P3B3/1KQR2R1 b - - 2 30
hlmr_more1_lightning,49,25,2.884,-2.300,5.184,8,r6k/1pNbnq1p/3p1np1/p2Pp3/P1B4Q/6P1/1PP1RP1P/R5K1 b - - 0 25
hlmr_more1_lightning,66,17,0.708,-4.470,5.178,11,R6r/1p1b1kpp/1Q2p3/3pn3/8/1P6/3q2PP/1KR5 w - - 2 34
placement_bundle,72,18,-0.887,4.290,-5.177,11,1k6/1bp3p1/1b3p1p/3p3P/P2nr3/1RN2NP1/5K2/1R6 w - - 0 37
placement_bundle,67,16,2.274,-2.880,5.154,12,b1k1r3/7p/1p3Q2/p1q5/2P3B1/PP4P1/7P/5KR1 b - - 2 34
placement_bundle,55,18,1.080,-4.060,5.140,12,4r1k1/2B3pp/p1r5/3q4/P3b2P/6P1/1P3P1R/2R1Q1K1 b - - 4 28
hlmr_more1_lightning,54,22,-1.586,3.550,-5.136,9,1r1bb1k1/2p2qpp/2p5/1p3p2/p4B2/P1PRQN2/1P3PP1/6K1 w - - 0 28
placement_bundle,85,14,3.825,-1.300,5.125,9,2r1b2k/8/4R3/4N2p/3P1p2/1BP2Rq1/P7/7K b - - 3 43
nmp_standard,55,25,2.183,-2.940,5.123,11,rr4k1/1b2qp1p/5np1/pN2b1B1/6PP/1PpP1P2/P3B3/1KQR2R1 b - - 0 28
placement_bundle,51,21,1.306,-3.800,5.106,10,2r1r1k1/p2q3p/4p1p1/1Pp5/3p1PQ1/2P5/P2B2PP/2KR3R b - - 0 26
placement_bundle,81,19,2.979,-2.110,5.089,11,5rk1/5ppp/p1Bbn3/2q4P/8/5N1P/PP6/R1R1K2Q b - - 1 41
placement_bundle,121,15,-1.103,3.980,-5.083,10,2Rb4/Q4k2/4pp1B/3q1p2/1p2r3/1P4PK/7P/8 b - - 5 61
nmp_standard,61,23,1.939,-3.140,5.079,12,rr4k1/4qp1p/5Bp1/p2b4/3bN1PP/1P1P1P2/P3B3/1KQR2R1 b - - 0 31
hlmr_more1_lightning,56,18,-0.573,4.500,-5.073,11,2b1k2r/1p4pp/1Q2p3/3pn3/1R6/1P1q1N2/6PP/1KR5 w - - 4 29
jun6_standard,57,23,2.980,-2.090,5.070,14,2rr2k1/Qp3pp1/5n1p/B2n3P/2p2qP1/5P2/PPN2R2/RK3B2 b - - 10 29
placement_bundle,73,20,3.370,-1.670,5.040,10,1R6/q1Pb1p1k/P2B1bpp/3n4/8/2p5/2P1BPPP/6KR b - - 6 37
stack_blitz,80,16,-1.145,3.870,-5.015,12,7k/pp1q2pp/1b6/8/PP3r1N/5P2/2Q4P/4R2K w - - 5 41
away_lightning,44,23,-0.943,4.070,-5.013,9,2r2rk1/p2p3p/1pq1p1p1/2p1P1QP/2PP4/2P1p3/P4P2/2R1K1R1 w - - 0 23
placement_bundle,40,19,-2.243,2.760,-5.003,12,r2nk2r/p3ppbp/1P4p1/8/2R5/2N5/PB2KP1P/R7 w kq - 4 21
