fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
4k1nr/rp1bp1b1/p2p1pp1/3N3p/3NP3/3PB3/P1R1BPPP/2R3K1 w k - 0 16,48,0,white_winning,1.0,-4587,691,-3591,0,0,-316,-300,0,0,-200,-180
2kr3r/pppn1p2/4pp1p/2P5/3P4/P2BP3/1P4PP/R4RK1 b - - 0 16,74,1,near_equal,0.0,-1749,60,-1688,0,0,0,0,0,0,0,-61
r3k1nr/p6p/npp3p1/3qNpN1/8/4P3/PPQ2PPP/R1B1K2R b KQkq - 1 13,16,0,white_winning,1.0,-1449,207,-4569,3250,0,-129,-1,0,0,0,0
8/5kp1/p3b3/3n1p1P/r7/B3pP2/pK2N3/R4B2 b - - 1 44,80,1,near_equal,1.0,-2865,-1,2075,-2335,-1350,0,0,0,0,-300,-955
2b5/3k3r/p2ppb1P/2p5/2P1P3/1r1P4/RP2BP2/5K1R w - - 1 30,69,1,black_winning,0.0,4927,-286,1287,1045,1000,0,0,0,0,300,555
8/8/1k2P1p1/1P5p/p2K3P/6P1/8/8 b - - 0 65,128,1,white_winning,1.0,-144,303,-2401,1825,600,0,0,0,0,0,0
r3r1k1/pp3pp1/2p2n1p/q3b3/2B5/1P2P1QP/PB3PP1/R2R2K1 w - - 0 19,21,0,near_equal,1.0,-303,0,-33,0,0,0,30,0,0,-300,0
r3k2r/3q1pbp/1Nnpb1p1/p1p4n/Pp2P3/1N1B2P1/1PP1QP1P/R1BR2K1 b kq - 2 19,0,0,white_winning,0.0,268,231,-128,0,0,75,321,0,0,0,0
1rb1k1nr/pp1p1p2/1qnbp1p1/2p4p/2P1P3/2NP1NP1/PP1BQPBP/R3K2R w KQk - 8 10,0,0,white_winning,1.0,46,166,446,0,0,0,-400,0,0,0,0
r1b1kbnr/1pqp1pp1/p1n1p2p/8/3NP2P/2N1B3/PPP2PP1/R2QKB1R w KQkq - 1 8,0,0,near_equal,1.0,-490,44,-90,0,0,0,-400,0,0,0,0
1NR2br1/5p2/3kp2p/pB4p1/8/PP2PP2/1n2K2P/1R6 w - - 0 32,74,1,white_winning,1.0,-13364,703,-6661,-3250,0,0,0,0,0,0,-2448
r1bqkb1r/5ppp/p1nppn2/1pp5/4P3/2PPB1P1/PP1NNPBP/R2QK2R b KQkq - 1 8,0,0,near_equal,0.0,-37,11,363,0,0,0,-400,0,0,0,0
3rk2r/Bp3ppp/8/bb2p3/8/PP1nP3/3NNPPP/1R1K1R2 w k - 3 23,53,0,black_winning,0.5,-407,-184,-775,0,0,104,164,0,0,100,0
8/8/pkpr4/2p1R3/P1P5/3PKp2/8/8 b - - 1 51,106,1,near_equal,0.5,1326,-51,1392,0,-250,0,0,0,0,0,0
r1bq1rk1/p4p1p/2pb1np1/3pp3/P7/1P1BP3/1BP2PPP/RN1QK2R w KQ - 1 11,10,0,near_equal,0.0,227,-98,-98,0,0,-75,400,0,0,0,0
1k1r3r/pp2npb1/2npb1pp/1Np1p3/2P4P/PP1PPNP1/1B3PB1/3RK2R w K - 3 19,42,0,near_equal,0.5,-157,21,-186,0,0,-75,104,0,0,0,0
1k1r4/1p6/1R4p1/5q1p/8/6P1/2Pr1P1P/R3Q1K1 b - - 0 29,42,0,near_equal,1.0,-218,100,-1565,1025,0,70,252,0,0,0,0
3k4/pp1b4/2pR3P/8/Pr6/5BK1/8/8 w - - 2 44,96,1,white_winning,1.0,1966,239,481,1135,0,0,0,0,0,0,910
4r2k/5r1p/1pbnpp1P/p7/P1PP4/1P1BRN2/5R2/6K1 b - - 2 36,64,0,near_equal,0.0,-679,62,-469,0,0,-41,-169,0,0,0,0
8/8/2k2p2/p3p1p1/3bP1P1/3K4/4R1P1/1r6 b - - 9 64,101,1,black_winning,0.0,10799,-490,7669,0,105,0,0,0,0,0,1820
8/2R5/4qnk1/1p6/p2Q3p/P4P2/1P3KPP/8 w - - 8 39,69,1,white_winning,1.0,-8478,456,-5083,-1180,0,0,0,0,0,0,-1120
rn2k2r/2p1q2p/p2bN1p1/1p3B2/3P4/7N/PPP2PRP/R2QK3 w Qkq - 0 15,16,0,white_winning,1.0,-7272,247,-5517,0,0,-269,-400,0,0,-200,-886
4rrk1/p3b1p1/1q1p1n1p/p1pP1b2/1nP1pN1P/1QN1PP2/1P6/R1BBK2R w KQ - 1 26,0,0,black_winning,0.0,1697,-157,1182,0,0,-75,400,0,0,0,190
3B4/1R3pp1/1b2p1k1/4Pr2/4RP2/6P1/1r6/3K4 b - - 14 65,74,1,near_equal,1.0,5857,-4,300,3450,0,0,0,0,0,0,1212
r2q1k1r/pb2bpp1/np3n1p/3pN1B1/5Q2/P1N3P1/1P2PPBP/3R1RK1 w - - 8 19,0,0,white_winning,1.0,-1481,299,-1018,0,0,-72,-391,0,0,0,0
2kr3r/pp2pb2/1n3bp1/2q2p1p/2p2P1P/1PN1PB2/P1QN1P2/2R1K2R b - - 2 20,10,0,black_winning,0.0,2150,-189,1481,0,0,-75,400,0,0,100,244
r3kb1r/pp1b1ppp/2pp1n2/q2P4/1nP1p3/2N1B3/PP1NPPPP/1QKR1B1R b kq - 1 10,0,0,near_equal,1.0,-734,44,-489,-60,0,82,-267,0,0,0,0
3r3r/1kp2pp1/4b2p/p3N3/2P5/P2BR3/5PPP/R5K1 b - - 1 21,69,1,white_winning,1.0,-5760,433,-4309,0,0,0,0,0,0,0,-711
r2qkbnr/1ppb1pp1/p2p2n1/3Pp2p/4P3/3QBN2/PPP1BPPP/RN3RK1 b kq - 1 9,0,0,near_equal,1.0,-1122,18,-797,0,0,75,-400,0,0,0,0
8/1RR2ppk/1p4rp/4n3/1P6/P3P1P1/5PKP/8 w - - 9 36,90,1,white_winning,1.0,-6649,508,-4325,0,0,0,0,0,0,0,-1339
8/8/3r4/7p/B4nk1/8/5K2/8 b - - 5 43,106,1,black_winning,0.0,12483,-537,7989,0,270,0,0,0,0,0,2729
r3k3/pp2bp1r/2p3n1/7p/1n1B1PbP/4P1P1/P2N4/2R1KBNR b Kq - 1 20,42,0,near_equal,0.5,284,-63,-274,1017,0,-195,-264,0,0,0,0
rnbq1k1r/1p3ppp/p2bp3/2p5/4nB2/P2Q1NP1/1PP2PBP/RN3RK1 b - - 1 11,0,0,white_winning,0.5,1398,218,1269,0,0,0,129,0,0,0,0
