fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
8/1Q2p1k1/6p1/1p2q3/7P/2P2P2/3KP3/8 b - - 4 54,85,1,near_equal,0.5,-1368,33,-1368,0,0,0,0,0,0,0,0
r1b2rk1/1p1p2pp/p1P1p3/q1p4P/2P5/P1b1BN1P/R2N1P2/3QKB1R b K - 0 16,10,0,white_winning,1.0,-4841,287,-4500,1000,0,-75,-174,0,0,-200,-892
8/8/5pp1/p1P5/1n2B2P/1PK2np1/5k2/8 w - - 2 53,112,1,black_winning,0.0,9960,-358,5441,45,860,0,0,0,0,200,1912
7r/5k1p/6pQ/7n/Pp2P3/1P3Pb1/1P3Rq1/R1B1K3 b - - 8 42,37,0,black_winning,0.0,-2077,-241,-6165,5000,410,-179,-300,-843,0,0,0
4r1k1/2B1b3/2n1Pp2/pqpB1P1p/1p1pQ1pP/3P4/1nPN4/6RK b - - 7 36,32,0,white_winning,1.0,1250,207,1869,0,-116,-332,-71,0,0,-100,0
4R3/7k/1p3p1p/8/1P2PP2/P4nPK/7P/8 w - - 0 45,112,1,white_winning,1.0,-9743,603,-6493,0,0,0,0,0,0,0,-2065
6k1/6P1/8/1p2p3/4N1KP/5R2/1q6/8 w - - 2 37,90,1,near_equal,0.0,6827,-6,1132,2335,608,0,0,0,0,0,1702
2r2rk1/pq3ppp/3bp3/8/2N5/P1P1P2P/2Q2PP1/R1B1R1K1 b - - 0 20,26,0,white_winning,1.0,-969,237,-4091,3250,0,0,-128,0,0,0,0
r7/5Npp/8/8/4KN1k/4P2P/n1r5/2B2R2 w - - 3 38,74,1,near_equal,0.5,-55,82,-3305,3450,0,0,0,0,0,-200,0
8/5p2/6p1/4b2p/2k1P2P/p4KP1/N7/8 w - - 4 52,117,1,black_winning,0.0,5133,-524,3467,0,-200,0,0,0,0,0,616
8/8/8/4pk2/R7/P4P1K/1r4r1/6B1 b - - 4 54,90,1,black_winning,0.0,7226,-272,497,3450,0,0,0,0,0,0,1739
8/8/8/4P2p/7P/5k2/6RK/r7 b - - 1 66,106,1,near_equal,0.5,-2784,-3,-1922,0,0,0,0,0,0,0,-526
2r1kb1r/pp1bpppp/2np4/3P2N1/Pq6/3BB2P/1P3PP1/R2QR1K1 b k - 0 14,10,0,white_winning,1.0,1110,181,420,1015,0,75,-400,0,0,0,0
r3kb1r/1p1n1p2/2p1bnpp/p3p3/P1P3P1/1PN1BN1P/2R1PPB1/5RK1 b kq - 1 18,42,0,near_equal,0.0,-450,-27,-473,0,0,75,-52,0,0,0,0
rn2kb1r/pb3p1p/1q2pp2/1p1p4/7P/3P2P1/PPQ1PPB1/RN2K1NR b KQkq - 0 10,10,0,near_equal,0.5,-28,-99,-528,0,0,0,400,0,0,100,0
2r1k2r/1p3p2/2bqp1pp/3p4/Pp1Pn2P/1Q1BP3/1P3PP1/R3N1KR b k - 7 23,21,0,near_equal,0.5,693,4,214,0,0,129,350,0,0,0,0
2r1k2r/1p1q1pp1/3p1n2/1N5p/1PPQP3/8/5PPP/3R1RK1 b k - 0 21,32,0,white_winning,1.0,-3791,323,-1906,-1030,0,-63,-300,0,0,0,-492
rnbq1rk1/pp2ppb1/2p2npp/3p4/2PP1B2/1P3NP1/P3PPBP/RN1Q1RK1 b - - 1 8,0,0,near_equal,1.0,-610,1,-210,0,0,0,-400,0,0,0,0
8/8/1N5p/1P4k1/4Rb2/1P1r1Pp1/6K1/8 b - - 0 48,96,1,near_equal,0.5,791,-56,-10,1310,-250,0,0,0,0,0,0
2R5/8/3Rp3/1r2P3/4kP2/6P1/5b2/2K5 w - - 11 82,90,1,white_winning,1.0,-6957,330,-4628,232,0,0,0,0,0,0,-1401
3r4/8/7p/6k1/2BpKn2/8/4P3/8 w - - 0 39,106,1,black_winning,0.0,11344,-502,7378,0,0,0,0,0,0,0,2606
r1b1kbnr/1pq1pppp/2pp1n2/p7/3P1B2/4PN2/PPPNBPPP/R2Q1RK1 w kq - 2 8,0,0,near_equal,1.0,-884,134,-559,0,0,75,-400,0,0,0,0
r1bqkb1r/pp1n1pp1/4pn1p/3p4/8/2N1PN1P/PPQP1PP1/R1B1KB1R w KQkq - 0 8,0,0,near_equal,0.5,-306,18,-706,0,0,0,400,0,0,0,0
2kr3r/pp3ppp/n1ppbb2/8/1qPP4/1PN1P2P/PB1QBPP1/R3K2R w KQ - 0 14,10,0,white_winning,1.0,-648,286,-173,0,0,-75,-400,0,0,0,0
rnbqk1nr/ppp3pp/3p4/8/2P1p3/2Q2N2/PP3PPP/R1B1KB1R w KQkq - 0 9,10,0,near_equal,1.0,-545,73,657,-1015,0,0,-87,0,0,-100,0
r3k1r1/pp4bp/2n1q3/5b2/2P2p1P/5Q2/PP2B3/2KR2NR b q - 0 18,16,0,black_winning,0.0,3209,-541,4239,-1637,-600,100,400,0,0,300,407
rn1qk2r/pp3pbp/8/4pb2/2P5/2B2Q2/PP3P1P/R3KBNR b KQkq - 3 11,10,0,near_equal,0.0,643,12,243,0,0,0,400,0,0,0,0
3r4/8/7p/6k1/2B2n2/4K3/8/8 b - - 0 40,106,1,black_winning,0.0,11163,-450,7029,0,0,0,0,0,0,0,2729
r1b1k2r/ppqn1pp1/2p2b1p/5N2/P3B3/2B4P/1PP1QPP1/R3K2R w KQkq - 3 16,10,0,white_winning,1.0,-2611,212,-986,-1015,0,0,-400,0,0,0,-210
8/8/8/2p2p2/p1r2kp1/3pp3/1B6/3K2R1 w - - 0 65,101,1,black_winning,0.0,9140,-469,8327,0,-2699,0,0,0,0,0,1108
r2qk2r/1bpn1pb1/1p1ppnp1/p3P2p/2PP1B2/2NB1N2/PP3PPP/R2QR1K1 b kq - 0 11,0,0,white_winning,1.0,-1117,193,-792,0,0,75,-400,0,0,0,0
r1bqkbnr/1p1p1ppp/p3p3/8/P2QP3/7P/1PP2PP1/RNB1KB1R b KQkq - 0 7,10,0,near_equal,0.5,-679,42,-279,0,0,0,-400,0,0,0,0
8/pk6/r1pr2p1/3nRp1p/P2N4/1P1NP3/3K1PPP/7R w - - 5 27,69,1,white_winning,1.0,-7335,633,-5282,0,0,0,0,0,0,-200,-913
rnbqk1nr/ppp3Qp/3p4/8/2P1p3/5N2/PP3PPP/R1B1KB1R b KQkq - 0 9,10,0,white_winning,1.0,-4169,190,-635,-2750,0,-120,78,0,0,-100,-642
8/4p3/8/2PKp1kP/8/4R1P1/2r5/8 b - - 6 47,106,1,white_winning,1.0,-5112,247,-2981,427,-385,0,0,0,0,0,-315
r1b2k1r/ppq2p2/2p4p/2n5/P3B3/2P3NP/2P1QPP1/R3K2R b KQ - 2 19,21,0,near_equal,1.0,-1814,118,-1488,200,0,-129,-218,0,0,0,-179
6k1/5p2/4p3/1P1p4/p3QP2/P7/q6p/2KB4 w - - 0 39,80,1,near_equal,0.5,-3786,-99,-568,-1180,-585,0,0,0,0,0,-924
1k1r3r/1Pp2pp1/4b2p/p7/2P5/P2BRN2/5PPP/R5K1 b - - 0 20,69,1,white_winning,1.0,-4778,432,-6697,2335,600,0,0,0,0,0,-431
r6k/1ppn3p/2bp1n1B/8/2PNp3/rP3P2/4BRPP/2KR4 w - - 5 23,53,0,near_equal,1.0,-304,20,-230,-200,0,87,139,0,0,-100,0
8/4kp2/4p3/2r5/B6P/3R2P1/3K4/8 w - - 1 56,101,1,white_winning,1.0,-6475,302,-4164,0,75,0,0,0,0,0,-1536
r1b2rk1/1p1p2pp/p1P1pb2/2p4n/1qP5/P3BN1P/1P1N1PP1/R2QKB1R b KQ - 0 13,5,0,white_winning,1.0,-649,416,-2519,2015,0,-75,130,0,0,-200,0
r4rk1/5p1p/3N2p1/4p3/1PP5/5KPP/5P2/7R b - - 0 27,90,1,near_equal,1.0,-373,-26,-403,0,30,0,0,0,0,0,0
r1b1k2r/1p1p1ppp/p3p3/2b5/P3P3/1BN2PqP/1PPQ1P2/R1B2R1K b kq - 2 14,16,0,near_equal,0.5,-2372,-49,-2724,1030,0,183,-400,0,0,0,-461
8/Q1pk1p1p/4q1p1/2p5/P1P5/6B1/2P2P1K/8 w - - 0 33,80,1,white_winning,1.0,-5536,404,-2324,-1045,-83,0,0,0,0,0,-1234
2kr1b1r/pp3p1p/n1p1bpp1/8/3qN3/P1N3PP/1PPQ1P2/R3KB1R w KQ - 0 13,10,0,black_winning,0.0,2600,-163,1931,0,0,-75,400,0,0,100,244
8/5k2/6pp/8/3B1P2/1p6/1PNp1P1P/3Kb3 w - - 0 36,112,1,white_winning,1.0,-7101,479,-2646,-1200,-600,0,0,0,0,0,-1960
rn2k2r/pp1b4/1q1p1bp1/5p1p/7P/1NN3P1/PP2PPB1/R2QK2R b KQkq - 1 14,10,0,near_equal,1.0,-302,110,-604,0,0,0,202,0,0,100,0
r1b1kb1r/pp3pp1/2n1p2p/2P5/1q6/1PN2NP1/3QPPBP/2R1K2R b Kkq - 0 13,10,0,near_equal,1.0,890,-49,-909,2099,0,0,-400,0,0,100,0
1r4k1/p2r2pp/4bp2/R7/7P/1P1nP1P1/1P1p1PK1/3B3R w - - 2 30,69,1,black_winning,0.0,5342,-488,4710,0,-600,0,0,0,0,0,492
r1b1k1nr/3p1pp1/p1p1pq1p/8/1bB1P3/2N1B3/PPPQ1PPP/2KR3R b kq - 3 10,10,0,near_equal,1.0,-1197,149,-872,0,0,75,-400,0,0,0,0
R7/8/8/4p2K/P4r2/4k3/6r1/8 b - - 5 61,96,1,black_winning,0.0,10679,-563,7121,0,90,0,0,0,0,0,2173
5r2/2R2pk1/4p3/6PP/5K2/5B2/8/8 b - - 0 64,101,1,white_winning,1.0,-8171,480,-5766,0,800,0,0,0,0,0,-1536
3brrk1/p2b2p1/1q1p1n1p/p1pP4/1nP1pN1P/1QN1PP2/1PB5/R1B1K2R b KQ - 6 28,0,0,black_winning,0.0,2254,-251,818,1000,0,-75,130,0,0,0,381
r2qk2r/pp1nppbp/2pp2pn/8/2PP2b1/1P2BNP1/P3PPBP/RN1QK2R w KQkq - 5 8,0,0,near_equal,1.0,-443,20,-43,0,0,0,-400,0,0,0,0
8/1p6/p4k1p/P2ppp2/1P1Pp3/4P1P1/5K1P/8 w - - 0 36,128,1,black_winning,0.0,1415,-165,1415,0,0,0,0,0,0,0,0
4k1nr/rp1bp3/p2p1pNb/7p/3NP3/3PB3/P1R1BPPP/2R3K1 b k - 0 17,48,0,white_winning,1.0,-5865,518,-4609,0,0,-288,-300,0,0,-200,-468
2r1kb1r/1bqp1ppp/pp2p3/4n3/1PPQP2P/P1N5/5PP1/R1B1KB1R w KQk - 2 14,10,0,near_equal,1.0,1080,-15,435,1045,0,0,-400,0,0,0,0
8/8/pkpr4/2p1R3/P1P2pp1/3P4/4K1P1/8 b - - 4 49,106,1,near_equal,0.5,1011,-119,1011,0,0,0,0,0,0,0,0
r5Q1/n2k3p/2pr1pp1/8/R7/4P2P/1P3PP1/6K1 w - - 4 38,69,1,white_winning,1.0,-11044,481,-3633,-5000,0,0,0,0,0,0,-1761
r2qkb1r/1b1n1ppp/p2p1n2/P1pN4/1p2PB2/3Q1N1P/1PP2PP1/R3KB1R b KQkq - 1 11,0,0,near_equal,0.0,-1418,56,-1018,0,0,0,-400,0,0,0,0
2R5/3R4/4p3/4P3/3bkP2/6P1/1r6/2K5 b - - 8 80,90,1,white_winning,1.0,-6891,223,-4312,0,0,0,0,0,0,0,-1419
2b1k3/4nrp1/rRp1p2p/p3B2P/2P1B3/5P2/P1P3P1/4K2R w K - 1 25,64,0,white_winning,1.0,-2826,401,-1778,0,0,-230,-169,0,0,-300,-349
4qk1r/5pbp/3R2p1/p1p4n/PpBnP3/1P2Q1P1/1P3P1P/R1B3K1 b - - 2 27,26,0,white_winning,0.0,-4799,299,-3707,0,0,0,-350,0,0,-100,-642
q4k1r/pp1b1pb1/3Pp1pp/2p5/P1P2P2/2P1Q3/1P2N1PP/R2R2K1 b - - 0 19,37,0,white_winning,1.0,-4866,336,-3412,-1045,375,0,-300,0,0,300,-784
5rk1/3b1pbp/p2N2p1/1p6/1n3P1N/1P2n1P1/1P2BR1P/R5K1 b - - 1 22,58,0,near_equal,0.0,-125,-91,-1517,1033,0,0,59,0,0,300,0
7r/pp2k3/2bpp3/2p1p1r1/2P1P3/1PKP3N/P3BP2/n6R w - - 1 32,74,1,black_winning,0.0,-4417,-208,5977,-8250,0,0,0,0,0,0,-1094
r2qk1nr/ppp2ppp/1b1pb3/4p3/1PBnP3/P1NP4/2P2PPP/1RBQK1NR w Kkq - 1 8,0,0,near_equal,1.0,234,10,32,0,0,0,202,0,0,0,0
1kN4Q/1pn5/r7/2p2pP1/p7/2P3PP/qP3P2/4R1K1 w - - 2 39,53,0,white_winning,1.0,-2838,434,-3302,1028,-40,0,-14,0,0,0,-510
r1b2rk1/4qppp/p1pb1n2/4p3/Np1PP3/1B1Q1N2/PPP3PP/R4RK1 b - - 1 14,10,0,near_equal,0.5,-405,-16,-105,0,0,0,-400,0,0,100,0
6k1/2r4p/5p2/p7/8/1R1N4/1PP3PP/2b2K2 b - - 1 35,96,1,near_equal,0.5,405,103,-816,1221,0,0,0,0,0,0,0
r3k2r/1pp1qpp1/2n4p/p2b4/2PP4/P2BQN2/5PPP/R3R1K1 b kq - 0 16,21,0,white_winning,1.0,-5584,180,-1088,-3450,0,75,-350,0,0,0,-771
2r5/5pk1/2pBp1p1/7p/r4P1P/pKP3P1/P1P1B3/3R4 w - - 0 36,85,1,white_winning,1.0,-12136,406,-1954,-6225,0,0,0,0,0,-300,-2717
2r3k1/6pp/2q5/1p2pbPn/7P/P1N2N2/1P3K2/4RB1R b - - 3 25,48,0,black_winning,0.0,2569,-426,2633,0,-153,0,289,0,0,-200,0
8/2b1rBk1/4P3/6N1/1p5P/8/1P4K1/3R4 b - - 1 37,90,1,white_winning,1.0,-9780,398,-7369,0,495,0,0,0,0,0,-1966
4k3/1p2p3/5r2/p3p2P/2P1K3/1P4P1/P2R4/8 b - - 2 37,106,1,white_winning,1.0,-6400,321,-2405,-1435,-100,0,0,0,0,0,-1106
rnb1kbnr/1p1p3p/pq2pp2/2p5/3P2p1/2N3B1/PPP1PPPP/R2QKBNR w KQkq - 2 8,0,0,near_equal,1.0,-590,84,-190,0,0,0,-400,0,0,0,0
r1b1k1nr/3p1pp1/p1p1p1q1/7p/2B1P3/2P1BP2/P1PQ2PP/2KR3R w kq - 0 13,21,0,white_winning,1.0,-1254,267,-511,0,0,-93,-350,0,0,-300,0
rnb1k2r/1pp3pp/p2qpn2/5pN1/3P1P2/8/PPPQ1P1P/R3KBNR w KQkq - 3 10,10,0,near_equal,0.5,596,24,494,0,0,0,102,0,0,0,0
r2qk2r/pbpn1ppp/1p1bpn2/3p4/2PP4/P3PN1P/1P2BPP1/RNBQK2R w KQkq - 1 8,0,0,near_equal,1.0,740,-12,340,0,0,0,400,0,0,0,0
r2r2k1/pp3p1p/4p1p1/q1b1P3/b1p1PQ2/2P3P1/1P3N1P/R4RKB w - - 0 22,21,0,near_equal,1.0,1147,-120,1503,0,0,-306,-350,0,0,300,0
r3kbnr/pbpq1ppp/1pn1p3/8/2B5/1P2P3/PB1P1PPP/RN1QK1NR w KQkq - 6 8,0,0,near_equal,0.0,-265,-22,-362,0,0,0,97,0,0,0,0
r4rk1/q2b3p/3p2p1/1p1P1n2/p1pQ4/P3PNRP/1PB2P2/R3K3 w Q - 0 27,21,0,near_equal,0.5,-783,-72,-76,0,0,-357,-350,0,0,0,0
6bk/7p/1p5P/p3r3/P2R1p2/5B2/1r4N1/5K2 b - - 5 61,80,1,black_winning,0.0,6332,-417,5104,0,-585,0,0,0,0,0,1273
8/4r2k/4pR2/3pB1p1/p1p4p/8/P5PP/4R2K w - - 0 44,90,1,white_winning,1.0,-6678,624,-4408,0,-550,0,0,0,0,0,-1915
8/6k1/R7/1Ppr1P1P/4K3/P1P5/8/8 b - - 1 54,106,1,white_winning,1.0,-10900,587,-7452,0,480,0,0,0,0,0,-1818
r2qkb1r/1p1b1ppn/p2p2n1/3Np1N1/P3P3/3QB2p/1PP1BPPP/R3R1K1 w kq - 1 15,0,0,white_winning,1.0,-3451,173,-1936,-1000,0,75,-400,0,0,0,-190
4Q3/2k5/1q4p1/4P2p/p1P4P/6P1/2K5/8 w - - 4 52,85,1,near_equal,1.0,-5258,76,-1718,-1862,275,0,0,0,0,0,-1100
1r4k1/p2nbppp/2n1p3/1qppPP2/1p3BP1/1B1P1N1P/1PP1Q3/5RK1 b - - 2 21,32,0,near_equal,1.0,860,-60,1250,0,0,-212,-78,0,0,-100,0
r2qk1nr/p2pbp2/1p2p1Bp/2p1N2Q/2P5/1PN1P1P1/P2P1P1P/R1B1K2b b Qkq - 0 11,16,0,white_winning,0.5,2275,237,-128,2450,0,-98,-400,0,0,-200,651
1k1r3r/pp2npb1/2np2pp/1Np1pb2/2P4P/PP1PPNP1/1B3PB1/3RK2R b K - 2 18,42,0,near_equal,0.5,-205,4,-246,0,0,-75,116,0,0,0,0
2k5/p1p2p1p/2p2rp1/8/P1P3q1/5NB1/2P1BPK1/b3Q3 b - - 4 23,53,0,white_winning,1.0,1042,162,1401,0,0,-62,3,0,0,-300,0
4rkr1/p3pp1n/Q2p2p1/BPpP2Pp/4B2P/P2PP2q/5P1b/1R2KR2 w - - 13 32,21,0,white_winning,1.0,-2773,273,-1823,30,0,-75,-350,0,0,-300,-255
1kr5/p3pb2/1p3bp1/5p1p/7P/2N2r2/P7/1NRK3R w - - 2 37,64,0,black_winning,0.0,8529,-523,6567,0,83,144,300,0,0,100,1335
6k1/5bp1/8/p3Bp1P/1n3P2/4p3/p3K3/2R2B2 b - - 3 55,96,1,white_winning,1.0,-5060,277,-401,-885,-1862,0,0,0,0,-300,-1247
3rk2r/2p1bp1p/p1q1p3/1p2P1pn/2b3P1/2P1QN1P/PP3P2/RBB1K2R b KQk - 4 19,10,0,black_winning,0.5,718,-152,818,0,0,0,-100,0,0,0,0
2k5/2p5/p7/3B1P2/p2q4/2N5/2K1Q3/8 b - - 17 56,74,1,white_winning,1.0,-11393,466,-6761,-1310,-440,0,0,0,0,0,-2023
r3k2r/pp1b1pp1/4p2p/4N3/1q1b4/1PNQ2P1/4PPBP/2R2RK1 b kq - 0 17,16,0,white_winning,1.0,1024,256,-3031,4280,0,75,-400,0,0,100,0
1r1qkb1r/pQp1npp1/2n4p/3p1b2/3P4/P1N2N2/1P2PPPP/R1B1KB1R w KQk - 1 9,0,0,near_equal,0.5,-940,-23,-1213,0,0,0,273,0,0,0,0
1r1qk2r/p1p1npb1/2n3pp/3p4/QP1Pb3/P1N1PN2/5PPP/R1B1KB1R b KQk - 2 12,0,0,white_winning,0.5,-727,174,-1127,0,0,0,400,0,0,0,0
r1b1k1nr/1p1nbppp/pqp5/4p3/P2PN3/1p2PNP1/1B3PBP/R2Q1RK1 b kq - 1 12,0,0,near_equal,1.0,494,120,1319,0,-500,75,-400,0,0,0,0
rnb1kb1r/pp1ppppp/1q3n2/8/3P1B2/PpP2N2/4PPPP/RN1QKB1R b KQkq - 3 8,0,0,near_equal,0.0,318,-48,968,0,-250,0,-400,0,0,0,0
2r1kb1r/1bq2ppp/pp1pp3/4B3/1PPQP2P/P1N5/5PP1/R3KB1R b KQk - 0 15,16,0,near_equal,1.0,-593,61,-3474,3450,0,-169,-400,0,0,0,0
7r/1r2kn1R/5NR1/pp2p1P1/2pbP1B1/5PP1/P5K1/8 w - - 1 50,64,0,white_winning,1.0,-4723,336,-1170,0,-110,-210,-300,-4347,1743,0,-329
2R5/2p1k3/p5r1/P1P1p3/2b3p1/4Br2/3K1P2/6R1 b - - 4 44,74,1,near_equal,0.5,1286,-72,2331,-1045,0,0,0,0,0,0,0
1r4k1/2R3pp/5p2/8/3rP2P/1b4P1/1n3PK1/3B3R b - - 0 34,69,1,black_winning,0.0,7871,-354,2377,3450,0,0,0,0,0,0,1304
6k1/5p2/4p3/1P1p4/p4P2/P7/2K4p/3B2qQ w - - 6 42,80,1,black_winning,0.5,-25,-231,1089,0,-610,0,0,0,0,0,0
r2r2k1/p1q1bppp/2p2n2/8/Pp1pP1b1/1nP1QNP1/1P2N1BP/1RB2RK1 w - - 0 17,0,0,black_winning,1.0,1371,-242,2149,-800,0,0,22,0,0,0,0
r2r2k1/p1q1bppp/2p2n2/2n1p3/Pp1PP1b1/2P1QNP1/1P2N1BP/R1B2RK1 b - - 2 15,0,0,near_equal,1.0,1400,-110,755,1045,0,0,-400,0,0,0,0
r2q1rk1/1pp2p2/p1nb1n1p/3pB1p1/3P4/2NB2Q1/PPP2PPP/2KR3R w - - 5 14,10,0,white_winning,1.0,-1595,208,-1095,0,0,0,-400,0,0,-100,0
r3k2r/1p4p1/2pp1p2/q1n1p3/p1P1P3/2NPB1P1/PPQ4P/5RK1 b kq - 1 20,37,0,black_winning,0.0,2180,-252,1974,0,0,75,-235,0,0,0,366
1r2k2r/pB1n1pb1/3pp1p1/q4bN1/2P3p1/P1N1Q3/1P2PP1P/2R1K2R w Kk - 1 17,10,0,black_winning,1.0,1019,-288,519,0,0,0,400,0,0,100,0
1nbqkbnr/1pp2p2/4p1pp/r2p4/p2PP3/P1PB1N2/1P1N1PPP/R1BQ1RK1 w k - 0 10,0,0,white_winning,1.0,-537,228,-212,0,0,75,-400,0,0,0,0
r3k1nr/p4p1p/npp3p1/3qb3/4N3/4PN2/PPQ2PPP/R1B1K2R w KQkq - 2 12,10,0,white_winning,1.0,-753,151,-459,-200,0,0,-94,0,0,0,0
6k1/2q1rpp1/1pP2n1p/p3r3/2B2Q2/4P2P/P4PP1/2RR2K1 w - - 1 25,32,0,white_winning,1.0,258,315,-1762,1852,375,0,-207,0,0,0,0
8/1p5p/pP4p1/2p5/P2k3r/1r6/2R5/4K1R1 w - - 4 43,85,1,black_winning,0.0,7491,-434,5190,0,-105,0,0,0,0,0,1111
r2qkbnr/1ppb1ppp/p2p2n1/3Pp3/4P3/3Q1N2/PPP1BPPP/RNB2RK1 b kq - 6 8,0,0,near_equal,1.0,-784,3,-459,0,0,75,-400,0,0,0,0
6k1/5bp1/8/3nBp2/p4P2/8/B2K4/2R5 b - - 0 59,96,1,white_winning,1.0,-6746,434,-3576,0,-800,0,0,0,0,-300,-1285
1r4kr/2Rn1pp1/1p6/1P2p3/P1P5/6P1/4PB2/R5K1 b - - 0 30,74,1,white_winning,1.0,-2128,299,-1734,0,0,0,0,0,0,0,-394
4k3/1p6/p3r2p/4Pp2/R2B3R/8/4PK2/1r6 b - - 0 43,80,1,white_winning,1.0,-676,323,-1501,0,825,0,0,0,0,0,0
3r1k1r/5pp1/1Rp1p3/p3P3/P1qP1B2/2b2PP1/5Q2/3R2K1 w - - 1 40,32,0,near_equal,1.0,2748,-89,472,2090,0,-30,-300,0,0,0,516
rnb4r/1pq1k2p/p2bp3/2p2p2/2N1Bp2/P5P1/QPP2P1P/RN1R2K1 b - - 1 17,10,0,near_equal,0.5,-1392,2,-1853,0,0,166,195,0,0,100,0
r1bq1kn1/1pp5/p2p1p2/4p2N/1PP1P1p1/P2P2P1/3Q1P2/R3KB2 w Q - 0 21,42,0,near_equal,0.5,-424,50,-182,0,0,-103,-139,0,0,0,0
rn2k2r/1pq1pp1p/p1p2npb/3p1b2/2PP4/4PN1P/PPBN1PP1/R1BQK2R w KQkq - 3 9,0,0,near_equal,0.5,314,27,437,0,0,0,-123,0,0,0,0
r3k1r1/4ppb1/bp5p/p1q3p1/P1p5/1Q1RP1P1/1P1N1PP1/2R3K1 w - - 0 31,26,0,black_winning,0.0,5438,-356,5038,-1069,0,75,296,0,0,300,798
2r1k2r/1p1b1pp1/1q2pn1p/pN1p4/Pb1P4/1Q1BPN1P/1P3PP1/R4K1R w k - 0 16,10,0,near_equal,0.5,-469,-15,-244,0,0,75,-400,0,0,100,0
2r1kb1r/pp1bpppp/2np1n2/q5N1/P3P3/2NBB2P/1P3PP1/R2QR1K1 b k - 10 12,0,0,near_equal,1.0,185,16,510,0,0,75,-400,0,0,0,0
8/r7/3BP3/p5kp/R7/4P1K1/8/8 b - - 0 61,101,1,white_winning,1.0,-9095,455,-5066,0,-695,0,0,0,0,0,-1536
b1r1k3/p6p/5pn1/1p6/4P1pP/5PB1/PP3KP1/3RR3 b - - 7 30,80,1,white_winning,1.0,-6221,428,-4652,0,0,0,0,0,0,0,-874
rnb1k1nr/1p1p3p/pq2pp2/2b5/N5p1/6B1/PPP1PPPP/R2QKBNR b KQkq - 1 9,0,0,near_equal,1.0,750,25,350,0,0,0,400,0,0,0,0
2r1k2r/1p3pp1/2bqpn1p/3p4/Pp1P3P/1Q1BPN2/1P3PP1/R4K1R b k - 0 19,21,0,near_equal,0.5,-237,10,-662,0,0,75,350,0,0,0,0
3r4/1p2kpr1/p1p1pn1p/R4p2/2RP4/P3PBP1/1P4KP/8 w - - 4 26,74,1,black_winning,0.0,1114,-155,1114,0,0,0,0,0,0,0,0
4k2r/pp2pp1p/3p4/n1rP2p1/P7/qpbBP1P1/3NKPP1/1Q5R b k - 1 23,32,0,black_winning,0.0,11756,-464,9114,1090,-75,0,-143,0,0,0,1770
8/k2r4/6p1/6P1/5P1p/1P1N3R/r2p2P1/3K4 w - - 24 59,90,1,black_winning,0.0,543,-221,2323,-1180,-600,0,0,0,0,0,0
rn2k1r1/pp3pbp/4q3/4Bb2/2P2P2/6Q1/PP5P/R3KBNR b KQq - 0 14,10,0,black_winning,0.0,-1736,-155,-449,0,0,-675,-400,0,0,0,-212
4k1n1/p3b2r/2p3p1/3pPp1p/qn1P1N2/1R5P/1P1B1PP1/1N1Q2K1 w - - 4 25,32,0,white_winning,1.0,-2364,371,-1011,-1030,280,-196,-168,0,0,0,-239
8/2q1bpk1/4p3/3pN2p/1Q1P2p1/P2B2PP/5PK1/8 w - - 1 44,69,1,white_winning,1.0,-7331,440,-4462,-1000,0,0,0,0,0,0,-929
2b1rrk1/p3n1bp/2p3p1/5p2/2q5/1NN1Q1P1/PP3PBP/1K1RR3 w - - 0 25,10,0,near_equal,0.5,-1268,96,-340,-1015,0,0,-13,0,0,100,0
2b4B/rp1nnk1p/1q2N1p1/pN6/Q1B5/4b3/PP4PP/R4K1R w - - 5 20,10,0,white_winning,1.0,-13452,427,-7267,-1750,0,-86,-400,-2583,0,0,-1366
rn2kb1r/pp3ppp/1qp1pn2/7b/3P4/1Q2PN2/PP1N1PPP/R1B1KB1R w KQkq - 0 9,0,0,near_equal,1.0,-357,12,43,0,0,0,-400,0,0,0,0
r3k2r/pbqn1ppp/3bp3/2pn4/8/P1NBPN1P/1PQ2PP1/R1B1K2R b KQkq - 3 12,0,0,near_equal,1.0,-407,-9,208,-1015,0,0,400,0,0,0,0
r1b1k2r/1p1nbppp/1q1pp3/pQ6/2PPP3/1PNB1N2/P5PP/R4RK1 b kq - 1 14,10,0,near_equal,0.0,-1455,25,-1045,0,0,-110,-400,0,0,100,0
r3k2r/ppq1bpp1/2pP1nn1/7p/1P1Q1PbP/2B1P1P1/P2N4/R3KBNR b KQkq - 0 15,0,0,near_equal,0.5,1263,125,-942,1871,871,-137,-400,0,0,0,0
2r1kbr1/5pp1/pP2p2p/1np5/N7/PP1BPP2/1B1K3P/2R4R w - - 5 23,58,0,white_winning,1.0,-4769,676,-3821,0,125,-197,-55,0,0,-300,-521
r1b1kb1r/1p3qp1/n3ppQp/pN1pB2n/P7/2P1N1P1/1P2PP1P/R3KB1R w KQkq - 4 16,0,0,near_equal,0.5,-1422,125,-906,0,0,-116,-400,0,0,0,0
8/5p2/6p1/p2pk3/3r3p/r4P1P/1R2K1P1/8 w - - 4 68,96,1,black_winning,0.0,13851,-582,9888,0,121,0,0,0,0,0,2592
